Gene,logFC,p-value,Group
APOE,5.1067867,0.00000e+00,F3: FRC-like
CXCL12,4.576376,0.00000e+00,F3: FRC-like
IGFBP7,2.4296026,0.00000e+00,F3: FRC-like
CXCL14,3.6259897,0.00000e+00,F3: FRC-like
C3,4.124011,0.00000e+00,F3: FRC-like
SOD3,2.6876626,0.00000e+00,F3: FRC-like
CCL19,6.143259,0.00000e+00,F3: FRC-like
CFD,3.1460001,0.00000e+00,F3: FRC-like
RPS4X,1.6930614,0.00000e+00,F3: FRC-like
PTGDS,3.3595457,0.00000e+00,F3: FRC-like
SERPING1,1.9744971,0.00000e+00,F3: FRC-like
APOD,3.0829244,0.00000e+00,F3: FRC-like
RPL10,1.6851487,0.00000e+00,F3: FRC-like
CFH,2.141725,0.00000e+00,F3: FRC-like
C1S,1.7139579,0.00000e+00,F3: FRC-like
ZFP36L2,2.0755208,0.00000e+00,F3: FRC-like
HLA-B,1.7841635,0.00000e+00,F3: FRC-like
NFIA,2.6087303,0.00000e+00,F3: FRC-like
EFEMP1,2.4361463,0.00000e+00,F3: FRC-like
RPL12,1.1900324,0.00000e+00,F3: FRC-like
SELENOP,2.1187491,0.00000e+00,F3: FRC-like
GGT5,2.824583,0.00000e+00,F3: FRC-like
RPL36A,1.6982213,0.00000e+00,F3: FRC-like
IFITM3,1.3066607,0.00000e+00,F3: FRC-like
CCDC80,1.4023626,0.00000e+00,F3: FRC-like
ABI3BP,2.0801103,0.00000e+00,F3: FRC-like
CST3,1.329478,0.00000e+00,F3: FRC-like
EEF1A1,1.229287,0.00000e+00,F3: FRC-like
TNFSF13B,4.2528353,0.00000e+00,F3: FRC-like
SNHG8,1.7935537,0.00000e+00,F3: FRC-like
RBP5,4.185686,0.00000e+00,F3: FRC-like
SOCS3,2.183965,0.00000e+00,F3: FRC-like
RPL37,1.0356717,0.00000e+00,F3: FRC-like
CCL2,2.5804255,0.00000e+00,F3: FRC-like
ZFP36L1,1.4109243,0.00000e+00,F3: FRC-like
PNRC1,1.5689389,0.00000e+00,F3: FRC-like
RPL7A,1.0511293,0.00000e+00,F3: FRC-like
FGL2,2.8343484,0.00000e+00,F3: FRC-like
RPL22,1.467029,0.00000e+00,F3: FRC-like
BTG1,1.7201961,0.00000e+00,F3: FRC-like
MT-ND3,1.7332804,0.00000e+00,F3: FRC-like
RPS8,0.88268596,0.00000e+00,F3: FRC-like
B2M,0.82725877,0.00000e+00,F3: FRC-like
SNED1,2.4378529,0.00000e+00,F3: FRC-like
ADH1B,3.2496774,0.00000e+00,F3: FRC-like
RPL39,2.1253448,0.00000e+00,F3: FRC-like
TMEM176A,1.8793625,0.00000e+00,F3: FRC-like
ABCA8,3.489617,0.00000e+00,F3: FRC-like
RPS23,0.8500003,0.00000e+00,F3: FRC-like
FGF7,2.466828,0.00000e+00,F3: FRC-like
CLU,2.126194,0.00000e+00,F3: FRC-like
RPL32,0.8658211,0.00000e+00,F3: FRC-like
TMEM176B,1.6552441,0.00000e+00,F3: FRC-like
CYP7B1,1.7531179,0.00000e+00,F3: FRC-like
VCAN,1.391159,0.00000e+00,F3: FRC-like
MT-ND1,1.4436312,0.00000e+00,F3: FRC-like
RARRES2,1.4983369,0.00000e+00,F3: FRC-like
TFPI,2.1359746,0.00000e+00,F3: FRC-like
IFITM2,1.3171508,0.00000e+00,F3: FRC-like
RPL34,0.83089477,0.00000e+00,F3: FRC-like
RPL26,0.8093146,0.00000e+00,F3: FRC-like
CTSH,2.1901522,0.00000e+00,F3: FRC-like
GSN,1.4904473,0.00000e+00,F3: FRC-like
HLA-A,1.1075895,0.00000e+00,F3: FRC-like
HSPA1A,1.6382103,0.00000e+00,F3: FRC-like
RPS27,0.98138434,0.00000e+00,F3: FRC-like
CD74,2.7438998,0.00000e+00,F3: FRC-like
MT2A,1.7172005,0.00000e+00,F3: FRC-like
SOD2,1.4603517,0.00000e+00,F3: FRC-like
ZFP36,1.6574479,0.00000e+00,F3: FRC-like
RPS28,0.9209929,0.00000e+00,F3: FRC-like
CEBPD,1.5496979,0.00000e+00,F3: FRC-like
CYP1B1,2.7370863,0.00000e+00,F3: FRC-like
RPL35A,0.80691093,0.00000e+00,F3: FRC-like
DCLK1,1.6987743,0.00000e+00,F3: FRC-like
RPL35,0.9041439,0.00000e+00,F3: FRC-like
CYGB,2.487532,0.00000e+00,F3: FRC-like
COL15A1,1.7110229,0.00000e+00,F3: FRC-like
LGALS3,0.9222501,0.00000e+00,F3: FRC-like
RPL41,0.82604337,0.00000e+00,F3: FRC-like
TNFSF10,2.3338177,0.00000e+00,F3: FRC-like
TPT1,0.79245055,0.00000e+00,F3: FRC-like
RPS13,0.79163957,0.00000e+00,F3: FRC-like
LAMA4,1.3829535,0.00000e+00,F3: FRC-like
IL11RA,1.7808115,0.00000e+00,F3: FRC-like
MGP,1.3582753,0.00000e+00,F3: FRC-like
APOC1,4.2021947,0.00000e+00,F3: FRC-like
NFIB,1.800682,0.00000e+00,F3: FRC-like
NOP53,1.2626119,0.00000e+00,F3: FRC-like
PPA1,1.295371,0.00000e+00,F3: FRC-like
RPS12,0.72982574,0.00000e+00,F3: FRC-like
TXNIP,1.7042633,0.00000e+00,F3: FRC-like
MT-CO2,1.1712618,0.00000e+00,F3: FRC-like
RPL29,0.80938905,0.00000e+00,F3: FRC-like
CH25H,2.3984685,0.00000e+00,F3: FRC-like
TMSB4X,0.9549993,0.00000e+00,F3: FRC-like
EBF1,1.6435168,0.00000e+00,F3: FRC-like
MT-CYB,1.1687857,0.00000e+00,F3: FRC-like
RPL14,0.74294573,0.00000e+00,F3: FRC-like
RPS24,0.64145833,0.00000e+00,F3: FRC-like
APCDD1,4.323153,0.00000e+00,F1: Superficial
TWIST2,2.5716825,0.00000e+00,F1: Superficial
PLPP3,2.4345284,0.00000e+00,F1: Superficial
COL18A1,2.4910228,0.00000e+00,F1: Superficial
F13A1,4.6078205,0.00000e+00,F1: Superficial
CD9,1.9829272,0.00000e+00,F1: Superficial
IGFBP4,2.0483513,0.00000e+00,F1: Superficial
PMP22,1.783317,0.00000e+00,F1: Superficial
ZFP36L1,1.8787786,0.00000e+00,F1: Superficial
CEBPD,2.356711,0.00000e+00,F1: Superficial
ZFP36L2,2.191186,0.00000e+00,F1: Superficial
CEBPB,2.2817197,0.00000e+00,F1: Superficial
SOD3,2.223636,0.00000e+00,F1: Superficial
C1S,1.5569468,0.00000e+00,F1: Superficial
SERPING1,1.6888565,0.00000e+00,F1: Superficial
MT-CO2,1.7758929,0.00000e+00,F1: Superficial
C1R,1.6417977,0.00000e+00,F1: Superficial
GLUL,2.0528276,0.00000e+00,F1: Superficial
CYP26B1,3.4968753,0.00000e+00,F1: Superficial
PNRC1,1.8160245,0.00000e+00,F1: Superficial
MT-ND3,2.0322149,0.00000e+00,F1: Superficial
FBLN2,1.685356,0.00000e+00,F1: Superficial
HLA-B,1.6391743,0.00000e+00,F1: Superficial
SELENOP,2.020506,0.00000e+00,F1: Superficial
PTGDS,2.7591386,0.00000e+00,F1: Superficial
RPL10,1.494345,0.00000e+00,F1: Superficial
SPRY1,2.449008,0.00000e+00,F1: Superficial
EEF1A1,1.1700206,0.00000e+00,F1: Superficial
MT-ND1,1.6775846,0.00000e+00,F1: Superficial
MT-CYB,1.6312568,0.00000e+00,F1: Superficial
RPS4X,1.2779554,0.00000e+00,F1: Superficial
HLA-A,1.3236567,0.00000e+00,F1: Superficial
PAPPA,2.618173,0.00000e+00,F1: Superficial
ROBO2,2.3233554,0.00000e+00,F1: Superficial
MT-ND2,1.543447,0.00000e+00,F1: Superficial
NKD2,3.192101,0.00000e+00,F1: Superficial
MT-ATP6,1.6961379,0.00000e+00,F1: Superficial
COL23A1,3.4213758,0.00000e+00,F1: Superficial
CFD,2.024292,0.00000e+00,F1: Superficial
PGRMC1,1.6531785,0.00000e+00,F1: Superficial
AHR,1.6057773,0.00000e+00,F1: Superficial
